name,price,price_z,photo,add_photo,categor_list10,categor_list9,categor_list8,categor_list7,categor_list6,categor_list5,categor_list4,categor_list0,categor_list1,categor_list2,proizvodit,country_proizvodit,sku,size,color,title,quantity
Джинсы женские утепленные Roxvivi RX-614,1390,990,https://www.kupi-jeans.ru/upload/iblock/a09/a0933cd9e20427bef10a2b06aaa1e0b4.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/a09/70_113_2/a0933cd9e20427bef10a2b06aaa1e0b4.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/a5c/70_113_2/a5cce42b9f348f5ed31e14edebe744ad.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/fee/70_113_2/feeb04cb8924a588231bc3fa3bde8ff1.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/a08/70_113_2/a08cd06cd95d1e5b8dc531b25f854b21.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: RX-614,32,0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные HDL 312,1300,900,https://www.kupi-jeans.ru/upload/iblock/28f/28f6daf0ea10f49b5a6788462a02d6bf.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 312,"31,32,33,34,38",000000,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 85% хлопок, 15% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные HDL 305,1300,900,https://www.kupi-jeans.ru/upload/iblock/1b9/1b9bc6ce62cd4560012817469c25a704.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 305,"28,29,30,31,32,33",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 85% хлопок, 15% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные Hao Di HD99-802,1390,990,https://www.kupi-jeans.ru/upload/iblock/782/78237d8363ae89add831927398254c8b.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: HD99-802,"28,29,30,31,32,33",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные HDL 306,1300,900,https://www.kupi-jeans.ru/upload/iblock/2f8/2f88b655d10189f80c5217c8a4b6ed3d.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 306,"28,29,30,31,32,33",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 85% хлопок, 15% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные JSTH 301,1300,900,https://www.kupi-jeans.ru/upload/iblock/e21/e21eaaba4bef79a43d21d2e74686b4d5.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: 301,"28,29,30,32,33",000000,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
Джинсы женские утепленные Hao Di HD99-805,1390,990,https://www.kupi-jeans.ru/upload/iblock/fd5/fd5d32de6dd96b6a79692f03682d0358.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: HD99-805,"31,32,33,34,35,36",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные Hao Di HD99-800,1390,990,https://www.kupi-jeans.ru/upload/iblock/1d5/1d53402cb453a6891ab9c97bc1fb2ff0.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: HD99-800,"32,34",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные Rajojo F066-2,1390,990,https://www.kupi-jeans.ru/upload/iblock/147/1472c26e6580ab41af743ad4497fc9e7.jpg,,,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: F066-2,"30,31,32,33,34,36",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, зауженного кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 85% хлопок, 15% полиэстер. Сезон: Зима.",10
Джинсы женские утепленные Miss Bon MB-702,1390,990,https://www.kupi-jeans.ru/upload/iblock/aba/aba02ebd9c90ca2a1a0cfb2325b52fd6.jpg,"https://www.kupi-jeans.ru/upload/resize_cache/iblock/aba/70_113_2/aba02ebd9c90ca2a1a0cfb2325b52fd6.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/e2c/70_113_2/e2c81245f40f715ceb4fd010d681e7a2.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/8b8/70_113_2/8b8e1f91facc622e27c71f9474bdcc43.jpg,https://www.kupi-jeans.ru/upload/resize_cache/iblock/31a/70_113_2/31a5cacffd6dabe7658bee620232de15.jpg",,,,,,,,ЖЕНСКАЯ ОДЕЖДА,Джинсы,Утепленные брюки джинсовые,Производитель: ,Китай,Артикул: MB-702,"32,34,36",0000ff,"Симпатичные утепленные байкой, стрейчевые джинсы со средней посадкой, прямого кроя. Модель оформлена застежкой на пуговицу и молнию. Прекрасный выбор для повседневного гардероба. Детали: прямой покрой, подкладкой из тонкой байки которая незаметна глазу. Состав джинсов: 98% хлопок, 2% спандекс. Сезон: Зима.",10
