sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_optoins0,list_optoins_value0,list_optoins1,list_optoins_value1,list_optoins2,list_optoins_value2,list_optoins3,list_optoins_value3,list_optoins4,list_optoins_value4,list_optoins5,list_optoins_value5,list_options9,list_optoins_value9,list_options8,list_optoins_value8,list_options7,list_optoins_value7,list_img,description,img_color,name_color,quantity,quantity opc
568-zebra,http://terrakot-yarn.ru/568_zebra_rs_/,Zebra,none,none,Распродажа,Главная страница,,,,,Состав:,100% полиэстер,Метраж:,70 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,,125.00 руб,109.00 руб,,,,,,,/images/items/568/03836406.jpg,"Рекомендуемый размер спиц: 5  9мм. Стирка в тёплой воде (температура до 30 С).Основное предназначение интересной и необычнойпряжи Zebra – отделка вязаных изделий. Впрочем, эта замечательнаяпряжатравка может использоваться и в качестве основной, например, в детских кофточках, свитерах, курточках, карнавальных костюмах и даже в таких взрослых вещах, как шарфики, шапки, повязки, шубки, шали.","[['/images/items/568/yarn568big.jpg'], ['/images//items/568/yarn568.png']]",KF 960 белый-розовый,10,10;10;10;10;10;10;10;10;10
647-twist,http://terrakot-yarn.ru/647_twister_rs_/,Twister,none,none,Распродажа,Главная страница,,,,,Состав:,"53% шерсть, 5% альпака, 39% акрил, 3% люрекс",Метраж:,80 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,,78.00 руб,68.00 руб,,,,,,,"/images/items/647/03844177.jpg,/images/items/647/03844178.jpg,/images/items/647/03844179.jpg","Рекомендуемый размер спиц: 7,0-8,0мм, крючок: №7,0. Бережная ручная стирка, max 30°C.;;Пряжа ""Twister"" представляет собой нить, состоящую из шерсти, альпаки, акрила и люрекса. За счет этого пряжа смотрится интересно и необычно. Люрекс придаст мягкий блеск Вашему изделию, акрил сохранит прочность, а шерсть придаст теплоту.","[['/images/items/647/yarn647big.jpg'], ['/images//items/647/yarn647.png']]","19 серый,21 коричневый,24 черный-зеленый",10,10;10;10;10;10;10;10;10;10
353-tavsa,http://terrakot-yarn.ru/353_tavsan_tuyu_10_rs_/,Tavsan Tuyu 10,none,none,Распродажа,Главная страница,,,,,Состав:,"84% полиамид, 16% полиэстер",Метраж:,50 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,,144.00 руб,125.00 руб,,,,,,,"/images/items/353/03833148.jpg,/images/items/353/03833141.jpg,/images/items/353/03833150.jpg,/images/items/353/03833142.jpg,/images/items/353/03833143.jpg","Рекомендуемый размер спиц: 6,0 - 7,0мм. Стирка в тёплой воде (температура до 30 С).;;Эту пряжу иначе как искуственный мех не назовешь. Эффект меха получается двухсторонний. Подойдет для вязания пледов, необычных шапок, отделку изделий.","[['/images/items/353/yarn353big.jpg'], ['/images//items/353/yarn353.png']]","K812 красный,KF3003 серобеж.,KF3005 св.беж,KF3010 св.серый,KF807 св.черника",10,10;10;10;10;10;10;10;10;10
341-talya,http://terrakot-yarn.ru/341_talya_jeans_rs_/,Talya Jeans,none,none,Распродажа,Главная страница,,,,,Состав:,100% акрил,Метраж:,225 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,,115.00 руб,100.00 руб,,,,,,,"/images/items/341/03844357.jpg,/images/items/341/03844359.jpg,/images/items/341/03844352.jpg,/images/items/341/03844343.jpg,/images/items/341/03844345.jpg,/images/items/341/03844344.jpg,/images/items/341/03844353.jpg,/images/items/341/03844349.jpg,/images/items/341/03844348.jpg,/images/items/341/03844354.jpg,/images/items/341/03844356.jpg,/images/items/341/03844351.jpg,/images/items/341/03844360.jpg","Рекомендованный номер спиц: 3,5 - 4,5мм; крючка: №3,5 - 4,5. Бережная ручная стирка, max 30°C.;;Пряжа по своим свойствам очень мягкая, объемная, не вызывает аллергии, поэтому подойдет для людей даже с очень чувствительной кожей. Объемная крутка позволит получить результат быстро. Легко распускается, не пушится и не скатывается. Красивые меланжевые оттенки пряжи понравятся всем без исключения.","[['/images/items/341/yarn341big.jpg'], ['/images//items/341/yarn341.png']]","001 коралл. меланж,002 т. коралл. меланж,003 красный меланж,006 цикламен меланж,007 бордовый меланж,008 черничный меланж,009 фиолетовый меланж,014 бежевый меланж,015 коричневый меланж,016 зеленый меланж,017 ярк.зел.меланж,018 серый меланж,СЕ 013 св.бежевый меланж",10,10;10;10;10;10;10;10;10;10
501-piko-,http://terrakot-yarn.ru/501_piko_rs_/,Piko,none,none,Распродажа,Главная страница,,,,,Состав:,"21% шерсть, 64% акрил, 15% полиэстер",Метраж:,17 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,,92.00 руб,80.00 руб,,,,,,,"/images/items/501/03829812.jpg,/images/items/501/03828768.jpg,/images/items/501/03846073.jpg","Рекомендуемый размер спиц: любой, крючок: любой. Бережная ручная стирка, max 30°C.Турецкая ленточная пряжа Kartopu PIKO для вязания и шитья оригинальной одежды. Демисезонная ленточная пряжа, интересный состав, тёплая, приятная к телу. Для вязания оригинальной одежды и изделий для интерьера.","[['/images/items/501/yarn501big.jpg'], ['/images//items/501/yarn501.png']]","025 сливочный,122 вишня,632 т.синий",10,10;10;10;10;10;10;10;10;10
331-travk,http://terrakot-yarn.ru/331_travka_ayaz/,Травка Ayaz,140.0,89,Ayaz,Пряжа,Главная страница,,,,Состав:,100% полиэстер,Метраж:,140 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,89.00 руб,,,,,,,,,"/images/items/331/03850517.jpg,/images/items/331/03843283.jpg,/images/items/331/03817317.jpg,/images/items/331/03825201.jpg,/images/items/331/03823755.jpg,/images/items/331/03821440.jpg,/images/items/331/03817318.jpg,/images/items/331/03809371.jpg,/images/items/331/03818104.jpg,/images/items/331/03839350.jpg,/images/items/331/03843280.jpg,/images/items/331/03810072.jpg,/images/items/331/03817320.jpg,/images/items/331/03809366.jpg,/images/items/331/03809370.jpg,/images/items/331/03810071.jpg,/images/items/331/03821442.jpg,/images/items/331/03809374.jpg,/images/items/331/03825202.jpg,/images/items/331/03821448.jpg,/images/items/331/03821449.jpg,/images/items/331/03834649.jpg,/images/items/331/03843274.jpg,/images/items/331/03821441.jpg,/images/items/331/03821443.jpg,/images/items/331/03817321.jpg,/images/items/331/03821453.jpg,/images/items/331/03810073.jpg,/images/items/331/03823697.jpg,/images/items/331/03843276.jpg,/images/items/331/03843278.jpg,/images/items/331/03821446.jpg,/images/items/331/03818103.jpg,/images/items/331/03810075.jpg,/images/items/331/03843279.jpg,/images/items/331/03844268.jpg,/images/items/331/03843277.jpg,/images/items/331/03847965.jpg,/images/items/331/03823696.jpg,/images/items/331/03821450.jpg,/images/items/331/03821447.jpg,/images/items/331/03817316.jpg,/images/items/331/03810070.jpg,/images/items/331/03821454.jpg,/images/items/331/03809372.jpg,/images/items/331/03810076.jpg,/images/items/331/03810074.jpg,/images/items/331/03823698.jpg,/images/items/331/03850514.jpg,/images/items/331/03823695.jpg,/images/items/331/03817324.jpg,/images/items/331/03817322.jpg,/images/items/331/03823694.jpg,/images/items/331/03825203.jpg,/images/items/331/03810067.jpg,/images/items/331/03830364.jpg,/images/items/331/03845330.jpg","Рекомендуемый размер спиц: 5 - 9мм, крючок: №2 - 5. Стирка в тёплой воде (температура до 30 С).;;Основное предназначение интересной и необычной пряжи – отделка вязаных изделий. Впрочем, эта замечательная пряжа-травка может использоваться и в качестве основной, например, в детских кофточках, свитерах, курточках, карнавальных костюмах и даже в таких взрослых вещах, как шарфики, шапки, повязки, шубки, шали. ","[['/images/items/331/yarn331big.jpg'], ['/images//items/331/yarn331.png']]","1000-1188 сир.перс-белый,1000-1217 черн.суровый,1060 лиловый,1076 блед.голубой,1111 горчица,1130 серый,1133 василёк,1137 яркая мальва,1148 т.синий,1165 яркая фуксия,1184 канарейка,1187 т.сиреневый,1188 фиолетовый,1195 сталь,1203 ярко-зелёный,1207 алый,1208 белый,1213 морская волна,1214 голубой,1215 св.жёлтый,1217 чёрный,1217-1251 чёрный-красный,1219 бежевый,1223 бронза,1233 сиреневая дымка,1235 голубая бирюза,1236 ярко-розовый,1251 красный,1256 шампанское,1257 серобежевый,1263 аспарагус,1275 т.пудра,1280 айсберг,1328 морская лазурь,1395 салат неон,1396 ярк.фуксия,1397 лимонный флюр,1398 коралловый флюр,1507 медный,1966 т.оранж,1979 оранж,1999 бордо,2036 сиреневый,2175 т.красный,2199 св.беж,2249 розово-сиреневый,2256 т.голубой,2291 т.олива,2292 персиковый,2873 т.изумруд,3244 т.розовый,3246 коралл,3587 ледяная мята,5531 бл.розовый,6086 салат,6195 шоколад,7574 трава,7690 перламутровый,9249 фуксия",10,10;10;10;10;10;10;10;10;10
576-keten,http://terrakot-yarn.ru/576_ketenli_yun/,Ketenli Yun,210.0,132,Kartopu,Пряжа,Главная страница,,,,Состав:,"70% акрил, 20% шерсть, 10% лён",Метраж:,300 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,132.00 руб,,,,,,,,,/images/items/576/03836280.jpg,"Рекомендуемый размер спиц: 3,0  5,0мм, крючок: №2,0  4,0. Бережная ручная стирка.Редкая по своему составу пряжа подарит Вам истbнное удовольствие в вязании. Ворсинки льна придадут изделию определенный шарм.","[['/images/items/576/yarn576big.jpg'], ['/images//items/576/yarn576.png']]",К940 черный,10,10;10;10;10;10;10;10;10;10
1237-trav,http://terrakot-yarn.ru/1237_travka_kartopu/,ТРАВКА KARTOPU,110.0,69,Kartopu,Пряжа,Главная страница,,,,Состав:,100% полиэстер,Метраж:,125 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,69.00 руб,,,,,,,,,,"Пряжа Yumos состоит из длинных мягких ворсинок, представлена в широкой цветовой гамме. Эту пряжу можно использовать для вязания аксессуаров для дома: коврики для ванной или зала, покрывала для кровати и кресел, пледы.","[['/images/items/1237/yarn1237big.jpg'], ['/images//items/1237/yarn1237.png']]",Травка Kartopu КF106А шампанское,10,10;10;10;10;10;10;10;10;10
650-winne,http://terrakot-yarn.ru/650_winner/,Winner,200.0,124,Kutnor,Пряжа,Главная страница,,,,Состав:,100% мериносовая шерсть,Метраж:,160 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,124.00 руб,,,,,,,,,/images/items/650/03844051.jpg,"Рекомендуемый размер спиц: 3,5-4,0мм, крючок: №4,0. Бережная ручная стирка, max 30°C.;;Пряжа ""Winner"" производится из 100% мериносовой шерсти, что делает ее абсолютно неколючей, нежной и мягкой. Из такой нитки в изделии отлично смотрятся всевозможные араны, жгуты и косы. Подойдет для вязания шапок, шарфов, кофточек, жилеток.;; ","[['/images/items/650/yarn650big.jpg'], ['/images//items/650/yarn650.png']]",333 канарейка,10,10;10;10;10;10;10;10;10;10
1371-milk,http://terrakot-yarn.ru/1371_milk_cotton_plus/,MILK COTTON PLUS,120.0,75,Color City,Пряжа,Главная страница,,,,Состав:,"45% хлопок, 15% шелк искусственный, 40% акрил из молока",Метраж:,100 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,75.00 руб,,,,,,,,,,,"[['/images/items/1371/yarn1371big.jpg'], ['/images/emptyimg.png']]","003 песок,014 т.синий,038 желт-сир-перс.крап,04 натуральный,05 морковный,06 гиацинт,08 малина,09 трава,11 ярк.зелень,13 фиолетовый,14 лиловый,19 черный,22 т.зеленый,26 шоколад,28 серый,30 коралл-желт-брусн.,32 бир-желт-фиол.,34 желтый-фиолетовый,35 коралл-сирень,36 сер-бел-горч.,37 серый-амарант,А08 василек",10,10;10;10;10;10;10;10;10;10
