sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_optoins0,list_optoins_value0,list_options5,list_optoins_value5,list_optoins1,list_optoins_value1,list_optoins2,list_optoins_value2,list_optoins3,list_optoins_value3,list_optoins4,list_optoins_value4,price_skidka,list_img,description,img_color,name_color,quantity,quantity opc
568-zebra,http://terrakot-yarn.ru/568_zebra_rs_/,Zebra,none,none,Распродажа,Главная страница,,,,,Состав:,100% полиэстер,,,Метраж:,70 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,170.0,200.0,/images/items/568/03836406.jpg,"Рекомендуемый размер спиц: 5  9мм. Стирка в тёплой воде (температура до 30 С).Основное предназначение интересной и необычнойпряжи Zebra – отделка вязаных изделий. Впрочем, эта замечательнаяпряжатравка может использоваться и в качестве основной, например, в детских кофточках, свитерах, курточках, карнавальных костюмах и даже в таких взрослых вещах, как шарфики, шапки, повязки, шубки, шали.","[['/images/items/568/yarn568big.jpg'], ['/images//items/568/yarn568.png']]",KF 960 белый-розовый,10,10;10;10;10;10;10;10;10;10
647-twist,http://terrakot-yarn.ru/647_twister_rs_/,Twister,none,none,Распродажа,Главная страница,,,,,Состав:,"53% шерсть, 5% альпака, 39% акрил, 3% люрекс",,,Метраж:,80 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,110.0,120.0,"/images/items/647/03844177.jpg,/images/items/647/03844178.jpg,/images/items/647/03844179.jpg","Рекомендуемый размер спиц: 7,0-8,0мм, крючок: №7,0. Бережная ручная стирка, max 30°C.;;Пряжа ""Twister"" представляет собой нить, состоящую из шерсти, альпаки, акрила и люрекса. За счет этого пряжа смотрится интересно и необычно. Люрекс придаст мягкий блеск Вашему изделию, акрил сохранит прочность, а шерсть придаст теплоту.","[['/images/items/647/yarn647big.jpg'], ['/images//items/647/yarn647.png']]","19 серый,21 коричневый,24 черный-зеленый",10,10;10;10;10;10;10;10;10;10
353-tavsa,http://terrakot-yarn.ru/353_tavsan_tuyu_10_rs_/,Tavsan Tuyu 10,none,none,Распродажа,Главная страница,,,,,Состав:,"84% полиамид, 16% полиэстер",,,Метраж:,50 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,200.0,230.0,"/images/items/353/03833148.jpg,/images/items/353/03833141.jpg,/images/items/353/03833150.jpg,/images/items/353/03833142.jpg,/images/items/353/03833143.jpg","Рекомендуемый размер спиц: 6,0 - 7,0мм. Стирка в тёплой воде (температура до 30 С).;;Эту пряжу иначе как искуственный мех не назовешь. Эффект меха получается двухсторонний. Подойдет для вязания пледов, необычных шапок, отделку изделий.","[['/images/items/353/yarn353big.jpg'], ['/images//items/353/yarn353.png']]","K812 красный,KF3003 серобеж.,KF3005 св.беж,KF3010 св.серый,KF807 св.черника",10,10;10;10;10;10;10;10;10;10
506-zeugm,http://terrakot-yarn.ru/506_zeugma/,Zeugma,220.0,138,Modo,Пряжа,Главная страница,,,,Состав:,"70% акрил, 30% шерсть",,,Метраж:,200 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,220.0,,"/images/items/506/03844370.jpg,/images/items/506/03844374.jpg","Рекомендуемый размер спиц: 4 - 6мм. Плотность вязания: 10см х 10см = 22п х 17,5р. Стирка в тёплой воде (температура до 30 С).;;Изделия из данной пряжи отлично поднимают настроение разнообразием своих красок. Большой выбор вариантов меланжевых расцветок позволяет создавать как детские шапочки, так и элегантные женские и мужские вещи.","[['/images/items/506/yarn506big.jpg'], ['/images//items/506/yarn506.png']]","Z-001 жёлтый,Z-002 горчица",10,10;10;10;10;10;10;10;10;10
341-talya,http://terrakot-yarn.ru/341_talya_jeans_rs_/,Talya Jeans,none,none,Распродажа,Главная страница,,,,,Состав:,100% акрил,,,Метраж:,225 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,160.0,180.0,"/images/items/341/03844357.jpg,/images/items/341/03844359.jpg,/images/items/341/03844352.jpg,/images/items/341/03844343.jpg,/images/items/341/03844345.jpg,/images/items/341/03844344.jpg,/images/items/341/03844353.jpg,/images/items/341/03844349.jpg,/images/items/341/03844348.jpg,/images/items/341/03844354.jpg,/images/items/341/03844356.jpg,/images/items/341/03844351.jpg,/images/items/341/03844360.jpg","Рекомендованный номер спиц: 3,5 - 4,5мм; крючка: №3,5 - 4,5. Бережная ручная стирка, max 30°C.;;Пряжа по своим свойствам очень мягкая, объемная, не вызывает аллергии, поэтому подойдет для людей даже с очень чувствительной кожей. Объемная крутка позволит получить результат быстро. Легко распускается, не пушится и не скатывается. Красивые меланжевые оттенки пряжи понравятся всем без исключения.","[['/images/items/341/yarn341big.jpg'], ['/images//items/341/yarn341.png']]","001 коралл. меланж,002 т. коралл. меланж,003 красный меланж,006 цикламен меланж,007 бордовый меланж,008 черничный меланж,009 фиолетовый меланж,014 бежевый меланж,015 коричневый меланж,016 зеленый меланж,017 ярк.зел.меланж,018 серый меланж,СЕ 013 св.бежевый меланж",10,10;10;10;10;10;10;10;10;10
1661-viki,http://terrakot-yarn.ru/1661_viking/,VIKING,230.0,141,Gazzal,Пряжа,Главная страница,,,,Состав:,"70% акрил, 30% мериносовая шерсть",,,Метраж:,100 м,Вес мотка:,100 гр,Вес упаковки:,400 гр (4 мотков),Цена за 1 моток:,230.0,,"/images/items/1661/03859169.jpg,/images/items/1661/03859160.jpg,/images/items/1661/03859163.jpg,/images/items/1661/03859168.jpg,/images/items/1661/03859164.jpg,/images/items/1661/03859165.jpg,/images/items/1661/03859166.jpg,/images/items/1661/03859170.jpg,/images/items/1661/03859167.jpg,/images/items/1661/03859159.jpg,/images/items/1661/03859161.jpg,/images/items/1661/03859162.jpg",Рекомендуемый размер спиц №8Крючок №8,"[['/images/items/1661/yarn1661big.jpg'], ['/images//items/1661/yarn1661.png']]","4001 молочный,4003 св.беж,4005 талая вода,4006 пудра,4007 блед.голубой,4008 серобежевый,4009 белый,4013 сиреневый меланж,4014 т.зеленый,4015 бордо,4017 ультрамарин,4020 золото",10,10;10;10;10;10;10;10;10;10
1600-tang,http://terrakot-yarn.ru/1600_tango/,TANGО,180.0,110,Gazzal,Пряжа,Главная страница,,,,Состав:,"10 % шерсть, 70 % Полиамид, 20 % Полиакрил",,,Метраж:,275 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,180.0,,"/images/items/1600/03859147.jpg,/images/items/1600/03856778.jpg,/images/items/1600/03856779.jpg,/images/items/1600/03856780.jpg,/images/items/1600/03856781.jpg,/images/items/1600/03856782.jpg,/images/items/1600/03856783.jpg,/images/items/1600/03856784.jpg,/images/items/1600/03856785.jpg,/images/items/1600/03856786.jpg,/images/items/1600/03859149.jpg,/images/items/1600/03859153.jpg,/images/items/1600/03859150.jpg,/images/items/1600/03859151.jpg,/images/items/1600/03859148.jpg,/images/items/1600/03859152.jpg",Рекомендованный размер спиц №35Крючок №2.53,"[['/images/items/1600/yarn1600big.jpg'], ['/images//items/1600/yarn1600.png']]","Tangо 1470 голубой лен,Tangо 1471 джинс,Tangо 1472 серый,Tangо 1473 синий,Tangо 1474 изумруд,Tangо 1475 морская волна,Tangо 1476 коричневый,Tangо 1477 т.красный,Tangо 1478 беж,Tangо 1479 т.шоколад,Tangо 1480 св.розовый,Tangо 1481 св.амарант,Tangо 1482 золотистый беж,Tangо 1483 т.розовый,Tangо 1484 какао-черный,Tangо 1485 белый",10,10;10;10;10;10;10;10;10;10
314-super,http://terrakot-yarn.ru/314_super_excellence/,Super Excellence,220.0,138,Magic,Пряжа,Главная страница,,,,Состав:,"49% шерсть, 51% акрил",,,Метраж:,228 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,220.0,,"/images/items/314/00001845.jpg,/images/items/314/03818223.jpg,/images/items/314/03818226.jpg,/images/items/314/03818229.jpg,/images/items/314/03818768.jpg,/images/items/314/03818231.jpg,/images/items/314/03825825.jpg,/images/items/314/03832491.jpg,/images/items/314/03818233.jpg,/images/items/314/03818235.jpg,/images/items/314/03818249.jpg,/images/items/314/03818250.jpg,/images/items/314/03818251.jpg,/images/items/314/03818769.jpg","Рекомендуемый размер спиц: 4,5 - 5,0мм, крючок: №4,0. Бережная ручная стирка, max 30°C.;Полушерстяная пряжа, мягкая на ощупь, состоящая из шерсти и акрила, благодаря чему идеально скользит по спицам, облегчая и ускоряя процесс вязания. Нить ровная по всей длине, качественная, без утолщений, не линяет и не выгорает, подходит для вязания всевозможных теплых вещей для детей и взрослых. Из нее можно связать практически любую вещь: от шарфика до платья.","[['/images/items/314/yarn314big.jpg'], ['/images//items/314/yarn314.png']]","403 слоновая кость,4105 синий,411 св.терракот,4113 т.серо-голубой,4115 т.изумруд,4116 серо-коричневый,4117 св.кофейный,4121 васильковый,4123 малин.щербет,4126 жёлтый,4136 св.серый,4138 нежно-розовый,80 белый,81 черный,84 яр.голубая бирюза,86 алый,87 коричневый",10,10;10;10;10;10;10;10;10;10
618-baby-,http://terrakot-yarn.ru/618_baby_alpaca_silk/,Baby Alpaca Silk,none,none,Drops,Пряжа,Главная страница,,,,Состав:,"70% альпака, 30% шёлк",,,Метраж:,167 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,440.0,620.0,"/images/items/618/03845878.jpg,/images/items/618/03845879.jpg,/images/items/618/03845882.jpg,/images/items/618/03845883.jpg,/images/items/618/03845884.jpg,/images/items/618/03845886.jpg,/images/items/618/03845887.jpg,/images/items/618/03845888.jpg,/images/items/618/03845889.jpg,/images/items/618/03845890.jpg,/images/items/618/03845891.jpg,/images/items/618/03845892.jpg,/images/items/618/03845893.jpg,/images/items/618/03845894.jpg,/images/items/618/03845895.jpg,/images/items/618/03845896.jpg,/images/items/618/03845898.jpg","Рекомендуемый размер спиц: 3,5мм; крючок: №2,5 - 3,0. Плотность вязания: 10см х 10см = 23п х 30р. Ручная стирка, max 30°C.;;Пряжа мягкая и приятная, в одежде из Baby Alpaca Silk будет комфортно в любую погоду.","[['/images/items/618/yarn618big.jpg'], ['/images//items/618/yarn618.png']]","0100 молочный,1101 белый,2110 шампанское,3125 св.розовый,3250 св.брусничный,4088 черничный,4314 сир.-серый,5670 коричневый,6235 гол.джинс,6347 св.джинс,6935 т.синий,7219 св.фисташка,7402 св.бирюза,7820 зеленый,8108 св.серый,8112 гол.норка,8903 черный",10,10;10;10;10;10;10;10;10;10
207-krist,http://terrakot-yarn.ru/207_kristal/,Kristal,140.0,88,Kartopu,Пряжа,Главная страница,,,,Состав:,100% акрил,,,Метраж:,450 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,140.0,,"/images/items/207/00003998.jpg,/images/items/207/00004054.jpg,/images/items/207/00004007.jpg,/images/items/207/00004024.jpg,/images/items/207/00009055.jpg,/images/items/207/00004051.jpg","Рекомендуемый размер спиц: 2,0 - 3,0мм, крючок: №2,5. Бережная ручная стирка, max 30°C.;;Дешёвая классическая акриловая пряжа Kartopu KRISTAL подходит для плетения, вязания на вилке, для ручного и машинного вязания. Очень тонкая акриловая нитка, матовая, большой выбор красивых оттенков. Можно вязать в два и три сложения нитки, особенно хорошо получаются объёмные узоры при вязании крючком и спицами.","[['/images/items/207/yarn207big.jpg'], ['/images//items/207/yarn207.png']]","К010 белый,К025 экрю,К1015 молочный,К1105 бордо,К1151 красный,К1206 морковный,К1244 ярк.розовый,К1330 желтый,К1477 яркая зелень,К1733 розовый неон,К1794 яркая малина,К1812 алый,К320 канарейка,К439 салат,К481темная зелень,К632 гроза,К890 шоколад,К940 чёрный",10,10;10;10;10;10;10;10;10;10
