sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_options0,list_options_value0,list_options1,list_options_value1,list_options2,list_options_value2,list_options3,list_options_value3,list_options4,list_options_value4,list_options5,list_options_value5,price_skidka,img_color,name_color,description,list_img1,list_img2,quantity,delivery,quantity opc
568-zebra,http://terrakot-yarn.ru/568_zebra_rs_/,Zebra,none,none,Распродажа,Главная страница,,,,,Состав:,100% полиэстер,Метраж:,70 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,200.0,,,170.0,http://terrakot-yarn.ru/images/items/568/03836406.jpg,KF 960 белый-розовый,"Рекомендуемый размер спиц: 5  9мм. Стирка в тёплой воде (температура до 30 С).Основное предназначение интересной и необычнойпряжи Zebra – отделка вязаных изделий. Впрочем, эта замечательнаяпряжатравка может использоваться и в качестве основной, например, в детских кофточках, свитерах, курточках, карнавальных костюмах и даже в таких взрослых вещах, как шарфики, шапки, повязки, шубки, шали.",http://terrakot-yarn.ru/images/items/568/yarn568big.jpg,http://terrakot-yarn.ru/images//items/568/yarn568.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
647-twist,http://terrakot-yarn.ru/647_twister_rs_/,Twister,none,none,Распродажа,Главная страница,,,,,Состав:,"53% шерсть, 5% альпака, 39% акрил, 3% люрекс",Метраж:,80 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,120.0,,,110.0,http://terrakot-yarn.ru/images/items/647/03844177.jpg ; http://terrakot-yarn.ru/images/items/647/03844178.jpg ; http://terrakot-yarn.ru/images/items/647/03844179.jpg,19 серый ; 21 коричневый ; 24 черный-зеленый,"Рекомендуемый размер спиц: 7,08,0мм, крючок: №7,0. Бережная ручная стирка, max 30°C.;;Пряжа ""Twister"" представляет собой нить, состоящую из шерсти, альпаки, акрила и люрекса. За счет этого пряжа смотрится интересно и необычно. Люрекс придаст мягкий блеск Вашему изделию, акрил сохранит прочность, а шерсть придаст теплоту.",http://terrakot-yarn.ru/images/items/647/yarn647big.jpg,http://terrakot-yarn.ru/images//items/647/yarn647.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
341-talya,http://terrakot-yarn.ru/341_talya_jeans_rs_/,Talya Jeans,none,none,Распродажа,Главная страница,,,,,Состав:,100% акрил,Метраж:,225 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,180.0,,,160.0,http://terrakot-yarn.ru/images/items/341/03844357.jpg ; http://terrakot-yarn.ru/images/items/341/03844359.jpg ; http://terrakot-yarn.ru/images/items/341/03844352.jpg ; http://terrakot-yarn.ru/images/items/341/03844343.jpg ; http://terrakot-yarn.ru/images/items/341/03844345.jpg ; http://terrakot-yarn.ru/images/items/341/03844344.jpg ; http://terrakot-yarn.ru/images/items/341/03844353.jpg ; http://terrakot-yarn.ru/images/items/341/03844349.jpg ; http://terrakot-yarn.ru/images/items/341/03844348.jpg ; http://terrakot-yarn.ru/images/items/341/03844354.jpg ; http://terrakot-yarn.ru/images/items/341/03844356.jpg ; http://terrakot-yarn.ru/images/items/341/03844351.jpg ; http://terrakot-yarn.ru/images/items/341/03844360.jpg,001 коралл. меланж ; 002 т. коралл. меланж ; 003 красный меланж ; 006 цикламен меланж ; 007 бордовый меланж ; 008 черничный меланж ; 009 фиолетовый меланж ; 014 бежевый меланж ; 015 коричневый меланж ; 016 зеленый меланж ; 017 ярк.зел.меланж ; 018 серый меланж ; СЕ 013 св.бежевый меланж,"Рекомендованный номер спиц: 3,5  4,5мм; крючка: №3,5  4,5.Бережная ручная стирка, max 30°C.;;Пряжа по своим свойствам очень мягкая, объемная, не вызывает аллергии, поэтому подойдет для людей даже с очень чувствительной кожей. Объемная крутка позволит получить результат быстро. Легко распускается, не пушится и не скатывается.Красивые меланжевые оттенки пряжи понравятся всем без исключения.",http://terrakot-yarn.ru/images/items/341/yarn341big.jpg,http://terrakot-yarn.ru/images//items/341/yarn341.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
353-tavsa,http://terrakot-yarn.ru/353_tavsan_tuyu_10_rs_/,Tavsan Tuyu 10,none,none,Распродажа,Главная страница,,,,,Состав:,"84% полиамид, 16% полиэстер",Метраж:,50 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,230.0,,,200.0,http://terrakot-yarn.ru/images/items/353/03833148.jpg ; http://terrakot-yarn.ru/images/items/353/03833141.jpg ; http://terrakot-yarn.ru/images/items/353/03833150.jpg ; http://terrakot-yarn.ru/images/items/353/03833142.jpg ; http://terrakot-yarn.ru/images/items/353/03833143.jpg,K812 красный ; KF3003 серобеж. ; KF3005 св.беж ; KF3010 св.серый ; KF807 св.черника,"Рекомендуемый размер спиц: 6,0  7,0мм. Стирка в тёплой воде (температура до 30 С).;;Эту пряжу иначе как искуственный мех не назовешь. Эффект меха получается двухсторонний. Подойдет для вязания пледов, необычных шапок, отделку изделий.",http://terrakot-yarn.ru/images/items/353/yarn353big.jpg,http://terrakot-yarn.ru/images//items/353/yarn353.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
501-piko-,http://terrakot-yarn.ru/501_piko_rs_/,Piko,none,none,Распродажа,Главная страница,,,,,Состав:,"21% шерсть, 64% акрил, 15% полиэстер",Метраж:,17 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,150.0,,,130.0,http://terrakot-yarn.ru/images/items/501/03829812.jpg ; http://terrakot-yarn.ru/images/items/501/03828768.jpg ; http://terrakot-yarn.ru/images/items/501/03846073.jpg,025 сливочный ; 122 вишня ; 632 т.синий,"Рекомендуемый размер спиц: любой, крючок: любой. Бережная ручная стирка, max 30°C.Турецкая ленточная пряжа Kartopu PIKO для вязания и шитья оригинальной одежды. Демисезонная ленточная пряжа, интересный состав, тёплая, приятная к телу. Для вязания оригинальной одежды и изделий для интерьера.",http://terrakot-yarn.ru/images/items/501/yarn501big.jpg,http://terrakot-yarn.ru/images//items/501/yarn501.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
565-opus-,http://terrakot-yarn.ru/565_opus_rs_/,Opus,none,none,Распродажа,Главная страница,,,,,Состав:,"95% полиэстер, 5% люрекс",Метраж:,100 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,80.0,,,70.0,http://terrakot-yarn.ru/images/items/565/03835172.jpg ; http://terrakot-yarn.ru/images/items/565/03835174.jpg ; http://terrakot-yarn.ru/images/items/565/03835148.jpg ; http://terrakot-yarn.ru/images/items/565/03835171.jpg ; http://terrakot-yarn.ru/images/items/565/03835173.jpg ; http://terrakot-yarn.ru/images/items/565/03835177.jpg,SR100 т.фиол-бл.роз-бел.мел. ; SR101 роз-бел-т.гол. ; SR103 роз-бел.мел. ; SR104 гол-бел.мел. ; SR105 чернич-астра-бел. ; SR108 красн-астра-сир.,"Рекомендуемый размер спиц: 2,5  3,5мм, крючок: №0,75  2. Стирка в тёплой воде (температура до 30 С).;;Необычная буклированная нить, в изделии смотрится празднично. Из пряжи Opus можно связать любую вещь, а также можно использовать в качестве отделки изделия.",http://terrakot-yarn.ru/images/items/565/yarn565big.jpg,http://terrakot-yarn.ru/images//items/565/yarn565.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
500-payet,http://terrakot-yarn.ru/500_payeto_rs_/,Payeto,none,none,Распродажа,Главная страница,,,,,Состав:,"78% акрил, 14% полиэстер, 8% пайетки",Метраж:,36 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,160.0,,,140.0,http://terrakot-yarn.ru/images/items/500/03833102.jpg ; http://terrakot-yarn.ru/images/items/500/03829825.jpg ; http://terrakot-yarn.ru/images/items/500/03829822.jpg ; http://terrakot-yarn.ru/images/items/500/03829829.jpg ; http://terrakot-yarn.ru/images/items/500/03828779.jpg ; http://terrakot-yarn.ru/images/items/500/03829819.jpg ; http://terrakot-yarn.ru/images/items/500/03828775.jpg,110 вишня ; 122 кармин ; 717 колокольчик ; 884 т.персик ; 885 т.бежевый ; 890 шоколад ; 940 чёрный,"Рекомендуемый размер спиц: любой, крючок: любой. Бережная ручная стирка, max 30°C.;;Турецкая ленточная пряжа Kartopu Payeto для вязания и шитья оригинальной одежды. Демисезонная ленточная пряжа, интересный состав, приятная к телу. Для вязания оригинальной одежды и изделий для интерьера.",http://terrakot-yarn.ru/images/items/500/yarn500big.jpg,http://terrakot-yarn.ru/images//items/500/yarn500.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
563-hobi/,http://terrakot-yarn.ru/563_hobi/,Hobi,330.0,206,Kartopu,Пряжа,Главная страница,,,,Состав:,100% микрополиэстер,Метраж:,46 м,Вес мотка:,200 гр,Вес упаковки:,1000 гр (5 мотков),Цена за 1 моток:,330.0,,,,http://terrakot-yarn.ru/images/items/563/03836292.jpg ; http://terrakot-yarn.ru/images/items/563/03836299.jpg ; http://terrakot-yarn.ru/images/items/563/03836308.jpg ; http://terrakot-yarn.ru/images/items/563/03836224.jpg ; http://terrakot-yarn.ru/images/items/563/03836306.jpg ; http://terrakot-yarn.ru/images/items/563/03836291.jpg ; http://terrakot-yarn.ru/images/items/563/03836301.jpg ; http://terrakot-yarn.ru/images/items/563/03836295.jpg ; http://terrakot-yarn.ru/images/items/563/03836297.jpg ; http://terrakot-yarn.ru/images/items/563/03836303.jpg ; http://terrakot-yarn.ru/images/items/563/03836304.jpg ; http://terrakot-yarn.ru/images/items/563/03836307.jpg ; http://terrakot-yarn.ru/images/items/563/03836305.jpg,К160 алый ; К218 св.персик ; К328 фосфор ; К533 василек ; КF8000 черный ; КF8001 св.беж ; КF8004 красный ; КF8006 оливковый ; КF8007 св.какао ; КF8009 амарант ; КF8011 флокс ; КF8013 бордо ; КF8014 болотный,"Рекомендуемый размер спиц: 10,0  12,0мм. Стирка в тёплой воде (температура до 30 С).;;Имитация меха, матовая, однотонного окраса, очень мягкая, приятная к телу.;Для вязаниядемисезоннойодежды: жилетов, курток, пальто, шапок; изделий для дома и интерьера: дорожек, ковриков, подушек, игрушек, сумок, тапочек и т.д.",http://terrakot-yarn.ru/images/items/563/yarn563big.jpg,http://terrakot-yarn.ru/images//items/563/yarn563.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
206-flora,http://terrakot-yarn.ru/206_flora/,Flora,140.0,88,Kartopu,Пряжа,Главная страница,,,,Состав:,100% акрил,Метраж:,230 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,140.0,,,,http://terrakot-yarn.ru/images/items/206/03806920.jpg,К535 т.голубой,"Рекомендованный номер спиц: 3,5  4,5мм; крючка: №3,5  4,5.Бережная ручная стирка, max 30°C.Пряжа по своим свойствам очень мягкая, объемная, не вызывает аллергии, поэтому подойдет для людей даже с очень чувствительной кожей. Объемная крутка позволит получить результат быстро. Легко распускается, не пушится и не скатывается.",http://terrakot-yarn.ru/images/items/206/yarn206big.jpg,http://terrakot-yarn.ru/images//items/206/yarn206.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
309-dream,http://terrakot-yarn.ru/309_dreams/,Dreams,none,none,Magic,Пряжа,Главная страница,,,,Состав:,"35% мохер, 65% акрил",Метраж:,288 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,250.0,,,230.0,http://terrakot-yarn.ru/images/items/309/00001514.jpg ; http://terrakot-yarn.ru/images/items/309/00001520.jpg ; http://terrakot-yarn.ru/images/items/309/03808594.jpg ; http://terrakot-yarn.ru/images/items/309/03817861.jpg ; http://terrakot-yarn.ru/images/items/309/00001529.jpg ; http://terrakot-yarn.ru/images/items/309/00001530.jpg ; http://terrakot-yarn.ru/images/items/309/00001531.jpg,64 гол-син ; 70 черный ; 7306 сиреневый ; 7315 коричневый ; 75 персиковый ; 76 бело-серый ; 77 синий,"Рекомендованный номер спиц: 4.0  4.5мм; крючка: №3.5  4,5.Бережная ручная стирка, max 30°C.;;Удивительная палитра этой пряжи придает изделиям неповторимость, а высокое содержание мохера добавляет им романтичность и изысканность.",http://terrakot-yarn.ru/images/items/309/yarn309big.jpg,http://terrakot-yarn.ru/images//items/309/yarn309.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
